time,location,nearby event host,weather conditions
1728913790.136602,15th Street Bridge,none,Raining
1728913925.394789,15th Street Bridge,none,Raining
1728913901.19357,15th Street Bridge,none,Raining
1728913831.754622,15th Street Bridge,none,Raining
1728913883.942451,15th Street Bridge,none,Raining
1728913837.787478,15th Street Bridge,none,Raining
1728913995.093883,15th Street Bridge,none,Raining
1728913938.15887,15th Street Bridge,none,Raining
1728913825.707642,15th Street Bridge,none,Raining
1728913850.827856,15th Street Bridge,none,Raining
1728913957.395259,15th Street Bridge,none,Raining
1728913786.425107,15th Street Bridge,none,Raining
1728913970.232623,15th Street Bridge,none,Raining
1728913966.210992,15th Street Bridge,none,Raining
1728913884.279549,15th Street Bridge,none,Raining
1728913803.885265,15th Street Bridge,none,Raining
1728914007.15267,15th Street Bridge,none,Raining
1728913924.123212,15th Street Bridge,none,Raining
1728913960.299425,15th Street Bridge,none,Raining
1728913839.030371,15th Street Bridge,none,Raining
1728913907.815502,15th Street Bridge,none,Raining
1728914000.323957,15th Street Bridge,none,Raining
1728913942.284449,15th Street Bridge,none,Raining
1728913822.289182,15th Street Bridge,none,Raining
1728913821.511277,15th Street Bridge,none,Raining
1728913966.797356,15th Street Bridge,none,Raining
1728913917.35455,15th Street Bridge,none,Raining
1728913967.283315,15th Street Bridge,none,Raining
1728913890.824119,15th Street Bridge,none,Raining
1728913928.047902,15th Street Bridge,none,Raining
1728913874.879146,15th Street Bridge,none,Raining
1728914027.358187,15th Street Bridge,none,Raining
1728913821.199619,15th Street Bridge,none,Raining
1728913906.4438,15th Street Bridge,none,Raining
1728913969.387718,15th Street Bridge,none,Raining
1728913994.664698,15th Street Bridge,none,Raining
1728913824.681917,15th Street Bridge,none,Raining
1728913826.39568,15th Street Bridge,none,Raining
1728913951.315491,15th Street Bridge,none,Raining
1728913931.138167,15th Street Bridge,none,Raining
1728913880.344155,15th Street Bridge,none,Raining
1728913931.013223,15th Street Bridge,none,Raining
1728913900.331973,15th Street Bridge,none,Raining
1728913848.339389,15th Street Bridge,none,Raining
1728913920.774215,15th Street Bridge,none,Raining
1728914014.183407,15th Street Bridge,none,Raining
1728913951.268018,15th Street Bridge,none,Raining
1728913815.492418,15th Street Bridge,none,Raining
1728914000.349228,15th Street Bridge,none,Raining
1728913968.210672,15th Street Bridge,none,Raining
1728913972.463696,15th Street Bridge,none,Raining
1728913869.642114,15th Street Bridge,none,Raining
1728913858.440031,15th Street Bridge,none,Raining
1728913825.957861,15th Street Bridge,none,Raining
1728913788.778876,15th Street Bridge,none,Raining
1728913961.302095,15th Street Bridge,none,Raining
1728913960.723361,15th Street Bridge,none,Raining
1728914021.253144,15th Street Bridge,none,Raining
1728913970.870928,15th Street Bridge,none,Raining
1728913909.843602,15th Street Bridge,none,Raining
1728913813.538597,15th Street Bridge,none,Raining
1728913938.072046,15th Street Bridge,none,Raining
1728913990.000644,15th Street Bridge,none,Raining
1728913909.839092,15th Street Bridge,none,Raining
1728913835.738664,15th Street Bridge,none,Raining
1728913877.739325,15th Street Bridge,none,Raining
1728913826.771769,15th Street Bridge,none,Raining
1728914016.839939,15th Street Bridge,none,Raining
1728914009.384179,15th Street Bridge,none,Raining
1728914008.438439,15th Street Bridge,none,Raining
1728913931.7467,15th Street Bridge,none,Raining
1728913905.26537,15th Street Bridge,none,Raining
1728913814.848254,15th Street Bridge,none,Raining
1728913875.115384,15th Street Bridge,none,Raining
1728914024.477131,15th Street Bridge,none,Raining
1728913981.625953,15th Street Bridge,none,Raining
1728913845.468554,15th Street Bridge,none,Raining
1728913845.809182,15th Street Bridge,none,Raining
1728913924.165666,15th Street Bridge,none,Raining
1728913806.901692,15th Street Bridge,none,Raining
1728913963.657823,15th Street Bridge,none,Raining
1728913983.845581,15th Street Bridge,none,Raining
1728913991.716278,15th Street Bridge,none,Raining
1728913884.849481,15th Street Bridge,none,Raining
1728913787.182523,15th Street Bridge,none,Raining
1728913915.340197,15th Street Bridge,none,Raining
1728913984.243683,15th Street Bridge,none,Raining
1728913796.63047,15th Street Bridge,none,Raining
1728913883.641709,15th Street Bridge,none,Raining
1728913902.58254,15th Street Bridge,none,Raining
1728913988.447097,15th Street Bridge,none,Raining
1728913979.939238,15th Street Bridge,none,Raining
1728913938.263647,15th Street Bridge,none,Raining
1728913922.568232,15th Street Bridge,none,Raining
1728913928.107753,15th Street Bridge,none,Raining
1728913852.758152,15th Street Bridge,none,Raining
1728913918.20487,15th Street Bridge,none,Raining
1728913846.620921,15th Street Bridge,none,Raining
1728913972.90738,15th Street Bridge,none,Raining
1728913865.356674,15th Street Bridge,none,Raining
1728913816.497347,15th Street Bridge,none,Raining
1728913772.366215,15th Street Bridge,none,Raining
1728913762.048222,15th Street Bridge,none,Raining
1728913889.941165,15th Street Bridge,none,Raining
1728913898.225627,15th Street Bridge,none,Raining
1728913758.725801,15th Street Bridge,none,Raining
1728913926.881827,15th Street Bridge,none,Raining
1728913771.129704,15th Street Bridge,none,Raining
1728913773.176079,15th Street Bridge,none,Raining
1728913764.53911,15th Street Bridge,none,Raining
1728913836.302837,15th Street Bridge,none,Raining
1728913880.397469,15th Street Bridge,none,Raining
1728913823.834543,15th Street Bridge,none,Raining
1728913873.49948,15th Street Bridge,none,Raining
1728913886.416144,15th Street Bridge,none,Raining
1728913930.604616,15th Street Bridge,none,Raining
1728913968.771938,15th Street Bridge,none,Raining
1728913895.290796,15th Street Bridge,none,Raining
1728913815.319338,15th Street Bridge,none,Raining
1728913870.513506,15th Street Bridge,none,Raining
1728913854.694391,15th Street Bridge,none,Raining
1728913779.638191,15th Street Bridge,none,Raining
1728913915.15586,15th Street Bridge,none,Raining
1728913842.031416,15th Street Bridge,none,Raining
1728913855.664546,15th Street Bridge,none,Raining
1728913964.32082,15th Street Bridge,none,Raining
1728913770.001085,15th Street Bridge,none,Raining
1728913913.829317,15th Street Bridge,none,Raining
1728913912.08314,15th Street Bridge,none,Raining
1728913771.547042,15th Street Bridge,none,Raining
1728913931.771261,15th Street Bridge,none,Raining
1728913949.142203,15th Street Bridge,none,Raining
1728913783.224568,15th Street Bridge,none,Raining
1728913802.981617,15th Street Bridge,none,Raining
1728913885.708581,15th Street Bridge,none,Raining
1728913790.643751,15th Street Bridge,none,Raining
1728913801.037129,15th Street Bridge,none,Raining
1728913868.030736,15th Street Bridge,none,Raining
1728913966.876629,15th Street Bridge,none,Raining
1728913775.092373,15th Street Bridge,none,Raining
1728913950.925339,15th Street Bridge,none,Raining
1728913962.432054,15th Street Bridge,none,Raining
1728913780.498095,15th Street Bridge,none,Raining
1728913913.514775,15th Street Bridge,none,Raining
1728913886.741105,15th Street Bridge,none,Raining
1728913760.541886,15th Street Bridge,none,Raining
1728913779.383066,15th Street Bridge,none,Raining
1728913937.855721,15th Street Bridge,none,Raining
1728913813.731078,15th Street Bridge,none,Raining
1728913854.539374,15th Street Bridge,none,Raining
1728913857.52602,15th Street Bridge,none,Raining
1728913949.516095,15th Street Bridge,none,Raining
1728913958.586288,15th Street Bridge,none,Raining
1728913781.512909,15th Street Bridge,none,Raining
1728913742.517291,15th Street Bridge,none,Raining
1728913835.701222,15th Street Bridge,none,Raining
1728913964.364338,15th Street Bridge,none,Raining
1728913930.431046,15th Street Bridge,none,Raining
1728913810.459815,15th Street Bridge,none,Raining
1728913909.181961,15th Street Bridge,none,Raining
1728913917.321276,15th Street Bridge,none,Raining
1728913930.006767,15th Street Bridge,none,Raining
1728913900.849115,15th Street Bridge,none,Raining
1728913858.801139,15th Street Bridge,none,Raining
1728913787.575488,15th Street Bridge,none,Raining
1728913794.248216,15th Street Bridge,none,Raining
1728913756.03599,15th Street Bridge,none,Raining
1728913918.576923,15th Street Bridge,none,Raining
1728913756.629817,15th Street Bridge,none,Raining
1728913817.265154,15th Street Bridge,none,Raining
1728913754.034161,15th Street Bridge,none,Raining
1728913856.429244,15th Street Bridge,none,Raining
1728913962.652911,15th Street Bridge,none,Raining
1728913869.470272,15th Street Bridge,none,Raining
1728913755.651099,15th Street Bridge,none,Raining
1728913863.878839,15th Street Bridge,none,Raining
1728913946.322211,15th Street Bridge,none,Raining
1728913758.44512,15th Street Bridge,none,Raining
1728913758.310607,15th Street Bridge,none,Raining
1728913948.836608,15th Street Bridge,none,Raining
1728913838.906132,15th Street Bridge,none,Raining
1728913967.983071,15th Street Bridge,none,Raining
1728913878.722098,15th Street Bridge,none,Raining
1728913880.940574,15th Street Bridge,none,Raining
1728913751.537999,15th Street Bridge,none,Raining
1728913761.676017,15th Street Bridge,none,Raining
1728913899.769559,15th Street Bridge,none,Raining
1728913877.654462,15th Street Bridge,none,Raining
1728913817.928763,15th Street Bridge,none,Raining
1728913804.583767,15th Street Bridge,none,Raining
1728913902.734234,15th Street Bridge,none,Raining
1728913817.404127,15th Street Bridge,none,Raining
1728913805.747483,15th Street Bridge,none,Raining
1728913773.410788,15th Street Bridge,none,Raining
1728913896.920189,15th Street Bridge,none,Raining
1728913851.733897,15th Street Bridge,none,Raining
1728913964.9644,15th Street Bridge,none,Raining
1728913966.576229,15th Street Bridge,none,Raining
1728913744.23571,15th Street Bridge,none,Raining
1728913891.078221,15th Street Bridge,none,Raining
1728913877.118475,15th Street Bridge,none,Raining
1728913765.9955,15th Street Bridge,none,Raining
1728913871.032257,15th Street Bridge,none,Raining
1728913863.412327,15th Street Bridge,none,Raining
1728913773.789577,15th Street Bridge,none,Raining
1728913825.76212,15th Street Bridge,none,Raining
1728913758.509915,15th Street Bridge,none,Raining
1728913800.62826,15th Street Bridge,none,Raining
1728913810.396974,15th Street Bridge,none,Raining
1728913847.164298,15th Street Bridge,none,Raining
1728913872.372311,15th Street Bridge,none,Raining
1728913814.604114,15th Street Bridge,none,Raining
1728913978.124794,15th Street Bridge,none,Raining
1728913935.703986,15th Street Bridge,none,Raining
1728913868.945766,15th Street Bridge,none,Raining
1728913902.287169,15th Street Bridge,none,Raining
1728913875.104548,15th Street Bridge,none,Raining
1728913965.621449,15th Street Bridge,none,Raining
1728913781.86076,15th Street Bridge,none,Raining
1728913967.750472,15th Street Bridge,none,Raining
1728913820.471821,15th Street Bridge,none,Raining
1728913970.53105,15th Street Bridge,none,Raining
1728913935.180004,15th Street Bridge,none,Raining
1728913794.307498,15th Street Bridge,none,Raining
1728913824.621505,15th Street Bridge,none,Raining
1728913807.551117,15th Street Bridge,none,Raining
1728913839.291269,15th Street Bridge,none,Raining
1728913921.999311,15th Street Bridge,none,Raining
1728913961.699076,15th Street Bridge,none,Raining
1728913878.298174,15th Street Bridge,none,Raining
1728913817.2691,15th Street Bridge,none,Raining
1728913974.958171,15th Street Bridge,none,Raining
1728913769.191734,15th Street Bridge,none,Raining
1728913909.228267,15th Street Bridge,none,Raining
1728913956.043541,15th Street Bridge,none,Raining
1728913767.580823,15th Street Bridge,none,Raining
1728913837.053569,15th Street Bridge,none,Raining
1728913788.396719,15th Street Bridge,none,Raining
1728913992.151509,15th Street Bridge,none,Raining
1728913795.779674,15th Street Bridge,none,Raining
1728913863.040523,15th Street Bridge,none,Raining
1728913926.360187,15th Street Bridge,none,Raining
1728913891.617648,15th Street Bridge,none,Raining
1728913783.849731,15th Street Bridge,none,Raining
1728913983.812225,15th Street Bridge,none,Raining
1728913922.84471,15th Street Bridge,none,Raining
1728913792.773029,15th Street Bridge,none,Raining
1728913765.646753,15th Street Bridge,none,Raining
1728913845.611836,15th Street Bridge,none,Raining
1728913889.606023,15th Street Bridge,none,Raining
1728913860.148811,15th Street Bridge,none,Raining
1728913767.038926,15th Street Bridge,none,Raining
1728913844.516364,15th Street Bridge,none,Raining
1728913980.941123,15th Street Bridge,none,Raining
1728913990.327104,15th Street Bridge,none,Raining
1728913766.574771,15th Street Bridge,none,Raining
1728913842.874216,15th Street Bridge,none,Raining
1728913920.696005,15th Street Bridge,none,Raining
1728913917.064019,15th Street Bridge,none,Raining
1728913841.882872,15th Street Bridge,none,Raining
1728913891.372045,15th Street Bridge,none,Raining
1728913966.931054,15th Street Bridge,none,Raining
1728913990.720885,15th Street Bridge,none,Raining
1728913936.874627,15th Street Bridge,none,Raining
1728913979.183317,15th Street Bridge,none,Raining
1728913813.81696,15th Street Bridge,none,Raining
1728913796.000424,15th Street Bridge,none,Raining
1728913948.972887,15th Street Bridge,none,Raining
1728913799.492569,15th Street Bridge,none,Raining
1728913855.950658,15th Street Bridge,none,Raining
1728913800.046559,15th Street Bridge,none,Raining
1728913978.876951,15th Street Bridge,none,Raining
1728913944.772759,15th Street Bridge,none,Raining
1728913855.81116,15th Street Bridge,none,Raining
1728913917.777711,15th Street Bridge,none,Raining
1728913933.413809,15th Street Bridge,none,Raining
1728913816.560138,15th Street Bridge,none,Raining
1728913795.207482,15th Street Bridge,none,Raining
1728913925.306765,15th Street Bridge,none,Raining
1728913848.810013,15th Street Bridge,none,Raining
1728913766.293906,15th Street Bridge,none,Raining
1728913869.965605,15th Street Bridge,none,Raining
1728913804.897479,15th Street Bridge,none,Raining
1728913977.428456,15th Street Bridge,none,Raining
1728913840.918022,15th Street Bridge,none,Raining
1728913953.928731,15th Street Bridge,none,Raining
1728913935.117529,15th Street Bridge,none,Raining
1728913779.501651,15th Street Bridge,none,Raining
1728913884.407964,15th Street Bridge,none,Raining
1728913821.631835,15th Street Bridge,none,Raining
1728913792.864735,15th Street Bridge,none,Raining
1728913742.660981,15th Street Bridge,none,Raining
1728913911.598393,15th Street Bridge,none,Raining
1728913810.275071,15th Street Bridge,none,Raining
1728913848.257362,15th Street Bridge,none,Raining
1728913889.084348,15th Street Bridge,none,Raining
1728913928.478679,15th Street Bridge,none,Raining
1728913805.475968,15th Street Bridge,none,Raining
1728913732.624128,15th Street Bridge,none,Raining
1728913936.489219,15th Street Bridge,none,Raining
1728913788.691647,15th Street Bridge,none,Raining
1728913865.341536,15th Street Bridge,none,Raining
1728913962.052137,15th Street Bridge,none,Raining
1728913735.181727,15th Street Bridge,none,Raining
1728913869.177101,15th Street Bridge,none,Raining
1728913808.964907,15th Street Bridge,none,Raining
1728913914.742763,15th Street Bridge,none,Raining
1728913830.734532,15th Street Bridge,none,Raining
1728913962.216604,15th Street Bridge,none,Raining
1728913753.754988,15th Street Bridge,none,Raining
1728913941.881136,15th Street Bridge,none,Raining
1728913771.618906,15th Street Bridge,none,Raining
1728913736.652768,15th Street Bridge,none,Raining
1728913830.653804,15th Street Bridge,none,Raining
1728913850.780884,15th Street Bridge,none,Raining
1728913919.562609,15th Street Bridge,none,Raining
1728913890.845715,15th Street Bridge,none,Raining
1728913951.663149,15th Street Bridge,none,Raining
1728913902.889046,15th Street Bridge,none,Raining
1728913773.288431,15th Street Bridge,none,Raining
1728913829.511376,15th Street Bridge,none,Raining
1728913953.729877,15th Street Bridge,none,Raining
1728913946.985005,15th Street Bridge,none,Raining
1728913875.557298,15th Street Bridge,none,Raining
1728913885.212994,15th Street Bridge,none,Raining
1728913755.910076,15th Street Bridge,none,Raining
1728913942.01124,15th Street Bridge,none,Raining
1728913847.709401,15th Street Bridge,none,Raining
1728913886.054297,15th Street Bridge,none,Raining
1728913804.283897,15th Street Bridge,none,Raining
1728913893.330019,15th Street Bridge,none,Raining
1728913859.058995,15th Street Bridge,none,Raining
1728913772.041622,15th Street Bridge,none,Raining
1728913885.583064,15th Street Bridge,none,Raining
1728913816.994867,15th Street Bridge,none,Raining
1728913905.552294,15th Street Bridge,none,Raining
1728913767.766562,15th Street Bridge,none,Raining
1728913862.585261,15th Street Bridge,none,Raining
1728913823.458041,15th Street Bridge,none,Raining
1728913926.094041,15th Street Bridge,none,Raining
1728913798.929988,15th Street Bridge,none,Raining
1728913776.443844,15th Street Bridge,none,Raining
1728913914.582119,15th Street Bridge,none,Raining
1728913871.598777,15th Street Bridge,none,Raining
1728913803.339815,15th Street Bridge,none,Raining
1728913832.028644,15th Street Bridge,none,Raining
1728913888.150536,15th Street Bridge,none,Raining
1728913848.681759,15th Street Bridge,none,Raining
1728913916.496496,15th Street Bridge,none,Raining
1728913956.359681,15th Street Bridge,none,Raining
1728913902.630747,15th Street Bridge,none,Raining
1728913884.124179,15th Street Bridge,none,Raining
1728913794.108737,15th Street Bridge,none,Raining
1728913885.324921,15th Street Bridge,none,Raining
1728913890.622593,15th Street Bridge,none,Raining
1728913764.412928,15th Street Bridge,none,Raining
1728913970.479919,15th Street Bridge,none,Raining
1728913798.368464,15th Street Bridge,none,Raining
1728913816.500671,15th Street Bridge,none,Raining
1728913935.575095,15th Street Bridge,none,Raining
1728913777.364951,15th Street Bridge,none,Raining
1728913753.091292,15th Street Bridge,none,Raining
1728913978.144645,15th Street Bridge,none,Raining
1728913888.705754,15th Street Bridge,none,Raining
1728913926.437441,15th Street Bridge,none,Raining
1728913851.29988,15th Street Bridge,none,Raining
1728913954.672858,15th Street Bridge,none,Raining
1728913880.161016,15th Street Bridge,none,Raining
1728913914.40302,15th Street Bridge,none,Raining
1728913834.154832,15th Street Bridge,none,Raining
1728913837.916687,15th Street Bridge,none,Raining
1728913777.417123,15th Street Bridge,none,Raining
1728913907.029379,15th Street Bridge,none,Raining
1728913956.238358,15th Street Bridge,none,Raining
1728913948.505736,15th Street Bridge,none,Raining
1728913954.511649,15th Street Bridge,none,Raining
1728913928.820898,15th Street Bridge,none,Raining
1728913794.521873,15th Street Bridge,none,Raining
1728913934.986365,15th Street Bridge,none,Raining
1728913909.018826,15th Street Bridge,none,Raining
1728913853.491972,15th Street Bridge,none,Raining
1728913875.777391,15th Street Bridge,none,Raining
1728913962.192803,15th Street Bridge,none,Raining
1728913771.126064,15th Street Bridge,none,Raining
1728913774.001385,15th Street Bridge,none,Raining
1728913853.514377,15th Street Bridge,none,Raining
1728913869.471653,15th Street Bridge,none,Raining
1728913876.14207,15th Street Bridge,none,Raining
1728913818.15151,15th Street Bridge,none,Raining
1728913923.260003,15th Street Bridge,none,Raining
1728913848.217622,15th Street Bridge,none,Raining
1728913937.601562,15th Street Bridge,none,Raining
1728913956.084871,15th Street Bridge,none,Raining
1728913844.417782,15th Street Bridge,none,Raining
1728913959.645135,15th Street Bridge,none,Raining
1728913849.019267,15th Street Bridge,none,Raining
1728913780.197898,15th Street Bridge,none,Raining
1728913948.758778,15th Street Bridge,none,Raining
1728913850.016742,15th Street Bridge,none,Raining
1728913922.426429,15th Street Bridge,none,Raining
1728913943.567093,15th Street Bridge,none,Raining
1728913808.554725,15th Street Bridge,none,Raining
1728913928.64196,15th Street Bridge,none,Raining
1728913858.303284,15th Street Bridge,none,Raining
1728913799.419007,15th Street Bridge,none,Raining
1728913847.569422,15th Street Bridge,none,Raining
1728913913.250767,15th Street Bridge,none,Raining
1728913798.278459,15th Street Bridge,none,Raining
1728913822.603409,15th Street Bridge,none,Raining
1728913956.32644,15th Street Bridge,none,Raining
1728913761.338638,15th Street Bridge,none,Raining
1728913778.199358,15th Street Bridge,none,Raining
1728913833.92847,15th Street Bridge,none,Raining
1728913778.673264,15th Street Bridge,none,Raining
1728913793.348691,15th Street Bridge,none,Raining
1728913841.568295,15th Street Bridge,none,Raining
1728913821.411534,15th Street Bridge,none,Raining
1728913853.821833,15th Street Bridge,none,Raining
1728913756.943771,15th Street Bridge,none,Raining
1728913941.893881,15th Street Bridge,none,Raining
1728913835.474435,15th Street Bridge,none,Raining
1728913926.750985,15th Street Bridge,none,Raining
1728913938.054888,15th Street Bridge,none,Raining
1728913715.68767,15th Street Bridge,none,Raining
1728913922.357601,15th Street Bridge,none,Raining
1728913849.165683,15th Street Bridge,none,Raining
1728913825.475136,15th Street Bridge,none,Raining
1728913937.257998,15th Street Bridge,none,Raining
1728913782.667037,15th Street Bridge,none,Raining
1728913804.596796,15th Street Bridge,none,Raining
1728913924.99397,15th Street Bridge,none,Raining
1728913911.574881,15th Street Bridge,none,Raining
1728913840.172936,15th Street Bridge,none,Raining
1728913887.312175,15th Street Bridge,none,Raining
1728913902.968361,15th Street Bridge,none,Raining
1728913926.474723,15th Street Bridge,none,Raining
1728913828.175075,15th Street Bridge,none,Raining
1728913776.504475,15th Street Bridge,none,Raining
1728913827.554079,15th Street Bridge,none,Raining
1728913804.325729,15th Street Bridge,none,Raining
1728913871.529669,15th Street Bridge,none,Raining
1728913902.554158,15th Street Bridge,none,Raining
1728913884.803531,15th Street Bridge,none,Raining
1728913912.721359,15th Street Bridge,none,Raining
1728913931.689989,15th Street Bridge,none,Raining
1728913946.373275,15th Street Bridge,none,Raining
1728913839.189671,15th Street Bridge,none,Raining
1728913928.662927,15th Street Bridge,none,Raining
1728913853.054266,15th Street Bridge,none,Raining
1728913870.119942,15th Street Bridge,none,Raining
1728913731.147391,15th Street Bridge,none,Raining
1728913813.867065,15th Street Bridge,none,Raining
1728913919.044325,15th Street Bridge,none,Raining
1728913754.614966,15th Street Bridge,none,Raining
1728913773.437515,15th Street Bridge,none,Raining
1728913789.56464,15th Street Bridge,none,Raining
1728913820.127838,15th Street Bridge,none,Raining
1728913792.000132,15th Street Bridge,none,Raining
1728913922.113597,15th Street Bridge,none,Raining
1728913777.781588,15th Street Bridge,none,Raining
1728913939.288989,15th Street Bridge,none,Raining
1728913812.175558,15th Street Bridge,none,Raining
1728913911.37862,15th Street Bridge,none,Raining
1728913823.873641,15th Street Bridge,none,Raining
1728913890.765823,15th Street Bridge,none,Raining
1728913723.500546,15th Street Bridge,none,Raining
1728913939.460726,15th Street Bridge,none,Raining
1728913764.81332,15th Street Bridge,none,Raining
1728913727.468409,15th Street Bridge,none,Raining
1728913940.748545,15th Street Bridge,none,Raining
1728913720.661953,15th Street Bridge,none,Raining
1728913718.4472,15th Street Bridge,none,Raining
1728913770.347993,15th Street Bridge,none,Raining
1728913912.414923,15th Street Bridge,none,Raining
1728913860.120558,15th Street Bridge,none,Raining
1728913768.250786,15th Street Bridge,none,Raining
1728913824.654655,15th Street Bridge,none,Raining
1728913738.453467,15th Street Bridge,none,Raining
1728913938.461685,15th Street Bridge,none,Raining
1728913822.608156,15th Street Bridge,none,Raining
1728913772.498487,15th Street Bridge,none,Raining
1728913799.534842,15th Street Bridge,none,Raining
1728913856.414246,15th Street Bridge,none,Raining
1728913942.296339,15th Street Bridge,none,Raining
1728913883.405735,15th Street Bridge,none,Raining
1728913897.670053,15th Street Bridge,none,Raining
1728913750.303794,15th Street Bridge,none,Raining
1728913785.649341,15th Street Bridge,none,Raining
1728913849.884336,15th Street Bridge,none,Raining
1728913933.93292,15th Street Bridge,none,Raining
1728913880.191215,15th Street Bridge,none,Raining
1728913959.926276,15th Street Bridge,none,Raining
1728913832.07367,15th Street Bridge,none,Raining
1728913967.952944,15th Street Bridge,none,Raining
1728913789.599147,15th Street Bridge,none,Raining
1728913884.103487,15th Street Bridge,none,Raining
1728913941.337192,15th Street Bridge,none,Raining
1728913800.283851,15th Street Bridge,none,Raining
1728913909.326321,15th Street Bridge,none,Raining
1728913814.379845,15th Street Bridge,none,Raining
1728913906.222169,15th Street Bridge,none,Raining
1728913935.326711,15th Street Bridge,none,Raining
1728913933.094532,15th Street Bridge,none,Raining
1728913877.823813,15th Street Bridge,none,Raining
1728913751.856591,15th Street Bridge,none,Raining
1728913869.858859,15th Street Bridge,none,Raining
1728913900.765122,15th Street Bridge,none,Raining
1728913758.549617,15th Street Bridge,none,Raining
1728913897.410381,15th Street Bridge,none,Raining
1728913745.036516,15th Street Bridge,none,Raining
1728913842.814098,15th Street Bridge,none,Raining
1728913859.648409,15th Street Bridge,none,Raining
1728913846.045616,15th Street Bridge,none,Raining
1728913828.925129,15th Street Bridge,none,Raining
1728913955.978004,15th Street Bridge,none,Raining
1728913852.337443,15th Street Bridge,none,Raining
1728913778.717876,15th Street Bridge,none,Raining
1728913784.272871,15th Street Bridge,none,Raining
1728913867.219219,15th Street Bridge,none,Raining
1728913898.109779,15th Street Bridge,none,Raining
1728913889.818965,15th Street Bridge,none,Raining
1728913962.708238,15th Street Bridge,none,Raining
1728913927.913948,15th Street Bridge,none,Raining
1728913853.569705,15th Street Bridge,none,Raining
1728913940.176304,15th Street Bridge,none,Raining
1728913884.193909,15th Street Bridge,none,Raining
1728913819.3531,15th Street Bridge,none,Raining
1728913800.918841,15th Street Bridge,none,Raining
1728913966.309251,15th Street Bridge,none,Raining
1728913808.94278,15th Street Bridge,none,Raining
1728913850.19248,15th Street Bridge,none,Raining
1728913922.114308,15th Street Bridge,none,Raining
1728913878.763915,15th Street Bridge,none,Raining
1728913902.365233,15th Street Bridge,none,Raining
1728913822.735189,15th Street Bridge,none,Raining
1728913860.633561,15th Street Bridge,none,Raining
1728913820.0034,15th Street Bridge,none,Raining
1728913859.011984,15th Street Bridge,none,Raining
1728913827.157992,15th Street Bridge,none,Raining
1728913804.004578,15th Street Bridge,none,Raining
1728913809.118037,15th Street Bridge,none,Raining
1728913885.077202,15th Street Bridge,none,Raining
1728913953.225763,15th Street Bridge,none,Raining
1728913875.389847,15th Street Bridge,none,Raining
1728913865.99054,15th Street Bridge,none,Raining
1728913787.853542,15th Street Bridge,none,Raining
1728913799.925452,15th Street Bridge,none,Raining
1728913839.54275,15th Street Bridge,none,Raining
1728913875.242291,15th Street Bridge,none,Raining
1728913799.677745,15th Street Bridge,none,Raining
1728913856.262347,15th Street Bridge,none,Raining
1728913912.842178,15th Street Bridge,none,Raining
1728913849.561892,15th Street Bridge,none,Raining
